time	inactive	active	F	W	F_bound	W_bound	IF_IFclustered	IW_IWclustered	IF_IWclustered	Sum	Experiment
0.0	0.05	0.0	0.18	0.33	0.0	0.0	0.0	0.0	0.0	0.05	day18
1.616161616161616e-07	0.03452765572907493	0.000974410855480197	0.17488308491219215	0.32061898900208785	0.004489999438628713	0.008013942864176586	0.00016493386988806436	0.000535010112163303	0.0002970479094010658	0.04999999267026529	day18
3.232323232323232e-07	0.02433880326251981	0.0006934014744027185	0.17118783956312206	0.3138443725035317	0.006361131548078893	0.010994758359699998	0.0006530184049179466	0.002007938528878797	0.0011449920789468574	0.04999999267018862	day18
4.848484848484849e-07	0.01721972740711037	0.000493864167113033	0.16860479963941613	0.3091087992645367	0.007189132122508342	0.012240504394916198	0.0011299760914028159	0.003352290142393795	0.0019461160551014752	0.04999999266944412	day18
6.464646464646464e-07	0.012214810303074681	0.00035197801137669366	0.16678828086181255	0.30577851478236806	0.007669171418540203	0.012975164837353932	0.0014960995979489643	0.00434798592797146	0.0025503485235486697	0.0499999926692837	day18
8.08080808080808e-07	0.008680681039374343	0.00025097725975394133	0.16550529381974044	0.303426371809117	0.00798421555609665	0.013465627339738022	0.001762141695883841	0.005060896809084225	0.002986207232196086	0.04999999266929127	day18
9.696969696969698e-07	0.00617725863231975	0.00017902254849496473	0.1645963372133187	0.30175995129722544	0.008199946909130337	0.013803942599454841	0.0019529359715251258	0.005569131084144319	0.0032978439343183284	0.049999992669375444	day18
1.1313131313131313e-06	0.004399941760306504	0.00012772991881454166	0.16395094564903617	0.30057673335981433	0.008350203204546514	0.014040234489448664	0.0020892973255195084	0.005931387827411687	0.003520256495194314	0.04999999266936725	day18
1.2929292929292929e-06	0.003136100069451314	9.115032027700817e-05	0.16349197345450364	0.2997352842649541	0.008455752973170224	0.014206422684388207	0.0021866653615480133	0.006189675100445551	0.0036789428490457445	0.04999999266936537	day18
1.4545454545454544e-06	0.0022363567652095304	6.505517187637386e-05	0.16316520696757106	0.29913621229924425	0.008530281076626045	0.01432384113832248	0.0022561726993523224	0.0063738900023996205	0.0037921665569141554	0.04999999266936663	day18
1.616161616161616e-06	0.0015952942392983614	4.643518398588046e-05	0.16293237787119266	0.298709358881821	0.00858308425414105	0.014407063037319421	0.0023057883811707213	0.0065053084839994625	0.003872961112140695	0.049999992669366465	day18
1.7777777777777777e-06	0.001138273231914064	3.3146864819687784e-05	0.16276638637059082	0.29840504105587234	0.008620581110788523	0.014466175193616992	0.0023412054961105522	0.006599081111787648	0.003930621526215358	0.04999999266936639	day18
1.9393939393939395e-06	0.0008123215955871196	2.3662427583027997e-05	0.1626479971947763	0.29818799415812325	0.00864725060986936	0.01450822528622006	0.00236648808242557	0.00666600226230884	0.003971776030319013	0.049999992669366417	day18
2.101010101010101e-06	0.0005797804712294221	1.6892411314064392e-05	0.16256353446603106	0.2980331457462418	0.008666240273299331	0.0145381698095871	0.0023845366719793806	0.006713766263462213	0.004001151916526652	0.04999999266936641	day18
2.2626262626262626e-06	0.00041384516473702587	1.205966508145176e-05	0.1625032634154798	0.29792264874406815	0.008679772167014495	0.014559509707242693	0.0023974214433813397	0.006747860008705193	0.004022121530558841	0.04999999266936641	day18
2.424242424242424e-06	0.00029542005584371476	8.609682317077506e-06	0.1624602487042107	0.2978437883636795	0.008689420198640664	0.014574725556140804	0.0024066199988199786	0.0067721974900676355	0.0040370910993244614	0.04999999266936641	day18
2.5858585858585857e-06	0.00021089294863036945	6.146745193179524e-06	0.1624295463626446	0.29778750066090826	0.008696301788113968	0.014585578887956474	0.002413187040103794	0.006789571340782812	0.004047777768849604	0.04999999266936641	day18
2.7474747474747475e-06	0.00015055622035355145	4.388420101459404e-06	0.16240763048852383	0.29774732148166055	0.00870121153740838	0.014593322539672842	0.0024178754442660626	0.006801974446297619	0.004055407085351407	0.04999999266936641	day18
2.909090909090909e-06	0.0001074845608993969	3.13310740247895e-06	0.1623919857019237	0.29771863929610753	0.008704715145917315	0.014598848541568206	0.00242122266472162	0.006810829169536433	0.004060853822531454	0.049999992669366417	day18
3.0707070707070706e-06	7.673643700790875e-05	2.2368978530281468e-06	0.16238081714077565	0.2976981635238147	0.008707215680126505	0.014602792524865953	0.0024236123812923006	0.006817150767135247	0.004064742416328959	0.0499999926693664	day18
3.232323232323232e-06	5.478526056446664e-05	1.5970589956992902e-06	0.16237284386840073	0.2976835457808888	0.008709000495472897	0.014605607671569463	0.002425318504286224	0.006821663959726099	0.004067518627369617	0.0499999926693664	day18
3.3939393939393937e-06	3.9113932118205615e-05	1.140250435730388e-06	0.1623671516119076	0.2976731099003756	0.008710274539988115	0.014607617213702798	0.002426536583937872	0.006824886102578658	0.004069500680044249	0.04999999266936641	day18
3.5555555555555555e-06	2.792573751223621e-05	8.1411380737154e-07	0.1623630877574612	0.2976656594235877	0.008711184029209477	0.014609051760412174	0.0024274062285383	0.006827186529605857	0.004070915756068415	0.0499999926693664	day18
3.717171717171717e-06	1.993809412462981e-05	5.81269197316964e-07	0.16236018643592892	0.29766034025712235	0.00871183329973179	0.014610075873300061	0.0024280271094762867	0.006828828911827622	0.004071926045202394	0.0499999926693664	day18
3.878787878787879e-06	1.4235393729484802e-05	4.1502988829772736e-07	0.16235811507262304	0.29765654268072395	0.00871229681533138	0.014610806999716846	0.002428470386177149	0.006830001489666114	0.004072647339506934	0.0499999926693664	day18
