time	inactive	active	F	W	F_bound	vWA_bound	IF_IFclustered	IW_IWclustered	IF_IWclustered	Sum	Experiment
0.0	0.05	0.0	0.18	0.33	0.0	0.0	0.0	0.0	0.0	0.05	day18
1.616161616161616e-07	0.040815709119818126	0.0016120141849925071	0.1724291446167963	0.32999858197799187	0.006851629850652867	1.348746762548495e-06	0.00035957814199213663	1.3339534864302971e-11	6.924856664970995e-08	0.049999996710022684	day18
3.232323232323232e-07	0.03453453647785911	0.001375020182960818	0.16591224937798155	0.3299973105825864	0.010696231705956752	2.3353334606449293e-06	0.0016955824900297262	7.397954816937758e-11	3.539359940400937e-07	0.04999999670024396	day18
4.848484848484849e-07	0.029358963066385795	0.0011768262248011213	0.1605395683122761	0.32999622427964004	0.012836370100740168	3.0313688010538964e-06	0.0033116587851946097	1.6750909472271112e-10	7.440165408083534e-07	0.049999996699217154	day18
6.464646464646464e-07	0.02505854587481618	0.0010101013908504991	0.15607335734722955	0.32999529321926907	0.014304742490348356	3.5611301978710555e-06	0.004810377529100976	2.7317174221685505e-10	1.1451041897701714e-06	0.049999996699137884	day18
8.08080808080808e-07	0.02145992028474108	0.0008691350518335425	0.15233456555521777	0.3299944930822068	0.015429030053399835	3.984356261142773e-06	0.00611744129415071	3.792355348167014e-10	1.5218030611861516e-06	0.04999999669913047	day18
9.696969696969698e-07	0.01843040211769545	0.0007494228159110992	0.1491860243511907	0.32999380388327915	0.01632756823904209	4.331740784215821e-06	0.007242271996989519	4.800838213247035e-10	1.8634157691612092e-06	0.04999999669911785	day18
1.1313131313131313e-06	0.01586688808832999	0.0006473744281474618	0.1465210567436666	0.32999320907369717	0.017060789167807976	4.6215647602306666e-06	0.008207992936780017	5.732977292943137e-10	2.168214947359132e-06	0.04999999669909586	day18
1.2929292929292929e-06	0.013688165156899352	0.0005600974228378909	0.14425557102310135	0.32999269485752125	0.017667156364464177	4.865958575946858e-06	0.009037417372321707	6.580649621027455e-10	2.4378677730478526e-06	0.049999996699096806	day18
1.4545454545454544e-06	0.011829508422987797	0.00048524161206008325	0.14232250366901772	0.3299922496669231	0.01817347163336703	5.073558560187293e-06	0.009750674695917793	7.34377484570463e-10	2.6753057618709774e-06	0.0499999966990894	day18
1.616161616161616e-06	0.010238769311777758	0.00042088116864213824	0.14066779003029825	0.32999186375102263	0.01859945729912329	5.250851955170229e-06	0.010364934439385989	8.026167042892217e-10	2.8837917889192566e-06	0.04999999669908158	day18
1.7777777777777777e-06	0.008873520214098728	0.0003654256467057136	0.13924742030925766	0.3299915288524465	0.01896000995019624	5.4028788444235236e-06	0.010894751599257055	8.633474208869059e-10	3.066542014403605e-06	0.049999996699082866	day18
1.9393939393939395e-06	0.007698981700690954	0.0003175546103791811	0.13802530165882215	0.3299912379531478	0.019266663498982973	5.533648956195816e-06	0.01135240413934949	9.172088972950786e-10	3.2265634783302865e-06	0.04999999669908274	day18
2.101010101010101e-06	0.006686415749167439	0.0002761640966716279	0.1369715980804975	0.32999098506624197	0.019528532117850095	5.646419360816079e-06	0.011748251608470785	9.648520161755368e-10	3.366584693292595e-06	0.049999996699082165	day18
2.2626262626262626e-06	0.005811912656271413	0.00024032671746129856	0.13606147760607568	0.329990765068557	0.019752903761290526	5.743868271682225e-06	0.01209106479163035	1.0069079309924917e-09	3.489049355542206e-06	0.049999996699082574	day18
2.424242424242424e-06	0.0050554707556096055	0.0002092596057637276	0.1352741600973163	0.3299905735649571	0.01994568716664578	5.828219394836302e-06	0.012388278304157731	1.0439716302894947e-09	3.5961277049145918e-06	0.0499999966990825	day18
2.5858585858585857e-06	0.004400265831741004	0.0001822992609710339	0.13459216161794713	0.329990406775665	0.020111725951660317	5.901336744524454e-06	0.012646211347985135	1.0765929116567148e-09	3.6897344047302655e-06	0.04999999669908243	day18
2.7474747474747475e-06	0.0038320816028004794	0.0001588811787174589	0.13400070463886693	0.32999026144355104	0.02025501897833462	5.964791721237225e-06	0.012870252414300079	1.1052735475835918e-09	3.7715541807253374e-06	0.0499999966990825	day18
2.909090909090909e-06	0.003338857527569966	0.00013852358417199419	0.13348724965573824	0.32999013475690375	0.020378895347108954	6.0199161395158845e-06	0.013065005965556754	1.1304675402698637e-09	3.843066021727442e-06	0.04999999669908246	day18
3.0707070707070706e-06	0.002910323736959514	0.00012081410734707983	0.1330411168605651	0.3299900242846415	0.02048614487591348	6.067844479131811e-06	0.013234416348894905	1.152582678182465e-09	3.905565714047298e-06	0.04999999669908246	day18
3.232323232323232e-06	0.002537707530262287	0.0001053988403795047	0.1326531817496626	0.32998992792187926	0.020579117952572227	6.1095465280846626e-06	0.013381870055060812	1.1719833773940763e-09	3.960187625997261e-06	0.049999996699082484	day18
3.3939393939393937e-06	0.0022134943451112424	9.1973438150088e-05	0.1323156272401164	0.329989843844045	0.020659803060448845	6.145853575298794e-06	0.013510280887512879	1.1889941644062658e-09	4.00792439145354e-06	0.04999999669908246	day18
3.5555555555555555e-06	0.001931231130888126	8.027558647945353e-05	0.13202173955042462	0.329989770467843	0.020729890907630014	6.177480498791318e-06	0.013622159949037767	1.2039030120308993e-09	4.049643852265977e-06	0.04999999669908247	day18
3.717171717171717e-06	0.001685364298556172	7.007886220362874e-05	0.1317657400435654	0.3299897064180945	0.020790823154721482	6.205043240071638e-06	0.013719675348479888	1.2169648584598555e-09	4.086104735813579e-06	0.04999999669908248	day18
