time	inactive	active	F	T	F_bound	T_bound	IF_IFclustered	IT_ITclustered	IF_ITclustered	Sum	Experiment
0.0	0.05	0.0	0.33	0.33	0.0	0.0	0.0	0.0	0.0	0.05	day18
1.616161616161616e-07	0.03733708877909161	0.0012496209963329126	0.31858787236758523	0.3299988385893724	0.009842520587129774	1.0779081444443143e-06	0.0007847617802846366	8.885274847574545e-12	8.348471261969303e-08	0.0499999988184638	day18
3.232323232323232e-07	0.028660443103594807	0.0009684120098792863	0.3096309587686246	0.32999789752644487	0.014047990797286589	1.7327390848343044e-06	0.0031603403930356294	4.3320781660782147e-11	3.696478286383634e-07	0.04999999881821561	day18
4.848484848484849e-07	0.022100551103997064	0.0007522057886725147	0.30285559066880224	0.32999716740546414	0.01604604371352444	2.1322338287183254e-06	0.005548832716968156	8.858017933375011e-11	7.001835466911527e-07	0.049999998818212786	day18
6.464646464646464e-07	0.017101995457371875	0.0005853298502079574	0.297690726710689	0.3299965997784876	0.017330863693737854	2.403431401012423e-06	0.007488706535532581	1.3289685242469388e-10	9.965243176173775e-07	0.0499999988182128	day18
8.08080808080808e-07	0.013269914793178567	0.0004561279436755154	0.2937298861546555	0.3299961577637954	0.01825368731394807	2.5987230181166712e-06	0.009007591680848344	1.7183858274407506e-10	1.2431695093664532e-06	0.04999999881821285	day18
9.696969696969698e-07	0.010318164726616652	0.0003558465257838776	0.2906781993110016	0.32999581312299575	0.018939491039131194	2.7438485870434207e-06	0.01019043351506029	2.0443039069438598e-10	1.4426195564230645e-06	0.04999999881821297	day18
1.1313131313131313e-06	0.008036114230094307	0.00027785887363388254	0.2883184301514052	0.32999554413391985	0.01945718854434028	2.853657163055671e-06	0.011111389778615378	2.3104173062280593e-10	1.6017468336432095e-06	0.04999999881821303	day18
1.2929292929292929e-06	0.006266755751750751	0.00021711491940807078	0.2864885378282215	0.32999533402453424	0.019851804406697687	2.937647322159473e-06	0.011828964970848059	2.5247443952332977e-10	1.7278231947214246e-06	0.049999998818213105	day18
1.4545454545454544e-06	0.004891803213170083	0.00016974311085300465	0.28506637770262083	0.32999516980299926	0.020154658299986212	3.002335475742981e-06	0.012388568337432663	2.695936426680104e-10	1.8273223377984333e-06	0.04999999881821325	day18
1.616161616161616e-06	0.0038214733538085104	0.0001327642342825086	0.2839591973846238	0.32999504138506414	0.020388221603655006	3.052380781897043e-06	0.012825337671884053	2.8319538448161587e-10	1.9056677632437999e-06	0.04999999881821328	day18
1.7777777777777777e-06	0.0029871341303076304	0.00010387630537727179	0.28309607069095855	0.32999494092632325	0.020569012397636005	3.091220381139398e-06	0.013166474822923172	2.9396319733816094e-10	1.9672653692611744e-06	0.049999998818213306	day18
1.9393939393939395e-06	0.0023360569471687948	8.12955247200578e-05	0.2824224913376125	0.32999486231587316	0.020709336241855364	3.121431158168656e-06	0.01343307838615234	3.024655486655887e-10	2.01564803756581e-06	0.04999999881821329	day18
2.101010101010101e-06	0.0018275624665384867	6.36365283892021e-05	0.28189639938900934	0.32999480078751514	0.020818483216036368	3.1449696700930324e-06	0.0136415318851412	3.0916638834692646e-10	2.053624481981204e-06	0.04999999881821329	day18
2.2626262626262626e-06	0.0014301656698664997	4.982151976342396e-05	0.28148523575080153	0.32999475262042527	0.020903511970430402	3.163332172700394e-06	0.013804584430028043	3.1444000034746053e-10	2.083418522082326e-06	0.04999999881821328	day18
2.424242424242424e-06	0.0011194340068764286	3.901063366470522e-05	0.28116373091449054	0.3299947149076475	0.020969833708019754	3.177670390744755e-06	0.013932164296254964	3.1858598560596836e-10	2.106784789871449e-06	0.04999999881821327	day18
2.5858585858585857e-06	0.0008763698048152113	3.054866345257188e-05	0.2809122342730801	0.3299946853767845	0.021021604441282104	3.1888737120503184e-06	0.014032018089815185	3.218428863892446e-10	2.125105817627523e-06	0.049999998818213334	day18
2.7474747474747475e-06	0.0006861774656842479	2.3924088057635582e-05	0.2807154404846428	0.32999466225069596	0.02106206961196185	3.1976341542929964e-06	0.0141101752184275	3.243995938878212e-10	2.1394663505646403e-06	0.049999998818213334	day18
2.909090909090909e-06	0.0005373195200831509	1.8737231386769347e-05	0.2805614137940532	0.32999464413901364	0.02109369601432944	3.2044859427634092e-06	0.014171369734597815	3.2640583494567493e-10	2.1507222319567016e-06	0.04999999881821334	day18
3.0707070707070706e-06	0.0004207902947790636	1.46756246774469e-05	0.2804408371473654	0.329994629953688	0.021118435423796152	3.2098472723536076e-06	0.01421928394278401	3.2797948965103364e-10	2.1595430806573016e-06	0.049999998818213334	day18
3.232323232323232e-06	0.0003295549652521524	1.149487550766593e-05	0.2803464321792931	0.32999461884306364	0.02113779030408822	3.2140432940768324e-06	0.014256805530606743	3.292134904096162e-10	2.166455215368771e-06	0.04999999881821332	day18
3.3939393939393937e-06	0.0002581147593372269	9.003782196401735e-06	0.28027250958273914	0.32999461014039144	0.0211529363137488	3.2173278428294846e-06	0.014286191115959197	3.3018094894679087e-10	2.1718714038877325e-06	0.04999999881821333	day18
3.5555555555555555e-06	0.00020216957670294658	7.0527161765015465e-06	0.28021462015085397	0.32999460332362246	0.02116479029224378	3.219899312324969e-06	0.01430920672076292	3.3093930644272526e-10	2.1761151866620914e-06	0.049999998818213334	day18
3.717171717171717e-06	0.00015835546496504823	5.524542122902179e-06	0.2801692832047247	0.3299945979839602	0.021174070808134576	3.2219128388650512e-06	0.0143272332734087	3.315336693699463e-10	2.1794401336000886e-06	0.049999998818213334	day18
